"Time (s)","Pressure (hPa)","Height (m)","Time (velocity) (s)","Velocity (m/s)"
1.033081055E0,1.001395130E3,0.000000000E0,1.549615614E0,-4.020092268E-1
2.066150173E0,1.001444541E3,-4.153033174E-1,2.582690700E0,-8.297065855E-1
3.099231228E0,1.001546527E3,-1.272457472E0,3.615771756E0,-8.091539108E-1
4.132312283E0,1.001645994E3,-2.108379048E0,4.648852810E0,-7.566569968E-1
5.165393338E0,1.001739016E3,-2.890067056E0,5.681933865E0,-8.744744545E-1
6.198474392E0,1.001846530E3,-3.793470048E0,6.715014920E0,-7.060642154E-1
7.231555447E0,1.001933346E3,-4.522891612E0,7.748095974E0,-7.309277963E-1
8.264636502E0,1.002023225E3,-5.277999271E0,8.781177029E0,-7.845875073E-1
9.297717556E0,1.002119710E3,-6.088541760E0,9.814258084E0,-8.262923918E-1
1.033079861E1,1.002221331E3,-6.942168776E0,1.084733914E1,-8.944145850E-1
1.136387967E1,1.002331340E3,-7.866171539E0,1.188042543E1,-7.769256681E-1
1.239697119E1,1.002426907E3,-8.668806864E0,1.291351172E1,-8.356260072E-1
1.343005225E1,1.002529702E3,-9.532076261E0,1.394659278E1,-7.503877647E-1
1.446313330E1,1.002622019E3,-1.030728764E1,1.497967383E1,-8.366784842E-1
1.549621436E1,1.002724960E3,-1.117164433E1,1.601275488E1,-7.774066282E-1
1.652929541E1,1.002820616E3,-1.197476839E1,1.704583594E1,-6.283107431E-1
1.756237647E1,1.002897931E3,-1.262386432E1,1.807891699E1,-7.412535238E-1
1.859545752E1,1.002989151E3,-1.338963929E1,1.911199805E1,-7.334562344E-1
1.962853858E1,1.003079419E3,-1.414735903E1,2.014507910E1,-9.018089858E-1
2.066161963E1,1.003190414E3,-1.507900081E1,2.117816016E1,-5.953336162E-1
2.169470069E1,1.003263694E3,-1.569402869E1,2.221123712E1,-2.498719726E-1
2.272777356E1,1.003294451E3,-1.595216465E1,2.324431409E1,-7.386257050E-2
2.376085462E1,1.003303544E3,-1.602847067E1,2.427739514E1,-1.057066640E-1
2.479393567E1,1.003316556E3,-1.613767422E1,2.531047620E1,-8.153844172E-2
2.582701672E1,1.003326593E3,-1.622191004E1,NaN,NaN
