species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,total_mm
Adelie,Torgersen,39.1,18.7,181.0,3750.0,MALE,57.8
Adelie,Torgersen,39.5,17.4,186.0,3800.0,FEMALE,56.9
Adelie,Torgersen,36.7,19.3,193.0,3450.0,FEMALE,56.0
Adelie,Torgersen,39.3,20.6,190.0,3650.0,MALE,59.9
Adelie,Torgersen,38.9,17.8,181.0,3625.0,FEMALE,56.7
Adelie,Torgersen,39.2,19.6,195.0,4675.0,MALE,58.800000000000004
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,52.2
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,54.9
Adelie,Torgersen,37.8,17.3,180.0,3700.0,,55.099999999999994
Adelie,Torgersen,38.6,21.2,191.0,3800.0,MALE,59.8
Adelie,Torgersen,34.6,21.1,198.0,4400.0,MALE,55.7
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE,54.400000000000006
Adelie,Torgersen,38.7,19.0,195.0,3450.0,FEMALE,57.7
Adelie,Torgersen,34.4,18.4,184.0,3325.0,FEMALE,52.8
Adelie,Biscoe,37.8,18.3,174.0,3400.0,FEMALE,56.099999999999994
Adelie,Biscoe,37.7,18.7,180.0,3600.0,MALE,56.400000000000006
Adelie,Biscoe,35.9,19.2,189.0,3800.0,FEMALE,55.099999999999994
Adelie,Biscoe,38.2,18.1,185.0,3950.0,MALE,56.300000000000004
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE,56.0
Adelie,Biscoe,35.3,18.9,187.0,3800.0,FEMALE,54.199999999999996
Adelie,Biscoe,37.9,18.6,172.0,3150.0,FEMALE,56.5
Adelie,Dream,39.5,16.7,178.0,3250.0,FEMALE,56.2
Adelie,Dream,37.2,18.1,178.0,3900.0,MALE,55.300000000000004
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,57.3
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,53.4
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,60.300000000000004
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,58.8
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,56.900000000000006
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE,58.9
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,54.5
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,54.5
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,53.9
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE,58.400000000000006
Adelie,Dream,37.5,18.9,179.0,2975.0,,56.4
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,53.9
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,57.3
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,52.9
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE,52.6
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE,56.5
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE,53.1
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE,56.7
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE,52.6
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,54.6
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE,53.5
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,51.7
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,52.5
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE,52.5
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,58.1
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,56.8
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,53.0
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE,56.6
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,52.300000000000004
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,51.8
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,55.5
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,54.5
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,55.099999999999994
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE,55.8
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,55.5
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,57.5
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,57.7
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,53.7
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,51.1
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE,57.7
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE,53.5
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,56.7
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,49.2
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,52.9
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,53.7
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,57.8
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,56.5
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE,58.6
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,55.8
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,58.2
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE,55.1
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,54.6
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE,57.400000000000006
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE,60.3
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE,55.6
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE,57.8
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,52.7
Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE,53.400000000000006
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,57.5
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE,51.1
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,56.4
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE,56.1
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,56.4
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE,55.3
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,56.0
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE,55.7
Adelie,Dream,35.6,17.5,191.0,3175.0,FEMALE,53.1
Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE,53.5
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,57.6
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE,47.6
Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE,54.099999999999994
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,57.7
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE,57.800000000000004
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE,55.0
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,53.8
Adelie,Dream,37.8,18.1,193.0,3750.0,MALE,55.9
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,53.1
